time,pleth_1
22:49.0,65492
22:49.0,65494
22:49.0,65498
22:49.0,65494
22:49.0,65494
22:49.0,65494
22:49.0,65503
22:49.0,65500
22:49.0,65512
22:49.0,65506
22:49.0,65506
22:49.0,65502
22:49.0,65507
22:49.0,65501
22:49.0,65501
22:49.0,65501
22:49.0,65513
22:49.0,65512
22:49.0,65510
22:49.1,65522
22:49.1,65522
22:49.1,65515
22:49.1,65510
22:49.1,65508
22:49.1,65522
22:49.1,65522
22:49.1,65519
22:49.1,65518
22:49.1,65522
22:49.1,65522
22:49.1,65524
22:49.1,65528
22:49.1,65515
22:49.1,65513
22:49.1,65513
22:49.1,65535
22:49.1,65536
22:49.1,65549
22:49.1,65539
22:49.1,65539
22:49.1,65532
22:49.1,65537
22:49.1,65541
22:49.1,65533
22:49.1,65533
22:49.1,65544
22:49.1,65550
22:49.1,65559
22:49.1,65543
22:49.1,65543
22:49.1,65550
22:49.1,65553
22:49.1,65557
22:49.1,65554
22:49.1,65554
22:49.1,65566
22:49.1,65558
22:49.1,65567
22:49.1,65549
22:49.1,65549
22:49.1,65563
22:49.1,65573
22:49.1,65571
22:49.1,65576
22:49.1,65576
22:49.1,65571
22:49.1,65591
22:49.1,65584
22:49.1,65589
22:49.2,65589
22:49.2,65580
22:49.2,65597
22:49.2,65594
22:49.2,65594
22:49.2,65607
22:49.2,65604
22:49.2,65602
22:49.2,65600
22:49.2,65600
22:49.2,65617
22:49.2,65616
22:49.2,65610
22:49.2,65606
22:49.2,65606
22:49.2,65599
22:49.2,65589
22:49.2,65594
22:49.2,65580
22:49.2,65580
22:49.2,65583
22:49.2,65568
22:49.2,65563
22:49.2,65558
22:49.2,65558
22:49.2,65549
22:49.2,65547
22:49.2,65533
22:49.2,65517
22:49.2,65517
22:49.2,65525
22:49.2,65517
22:49.2,65514
22:49.2,65482
22:49.2,65482
22:49.2,65489
22:49.2,65469
22:49.2,65461
22:49.2,65439
22:49.2,65439
22:49.2,65440
22:49.2,65440
22:49.2,65432
22:49.2,65417
22:49.2,65417
22:49.2,65413
22:49.2,65412
22:49.2,65418
22:49.2,65412
22:49.2,65412
22:49.3,65398
22:49.3,65380
22:49.3,65375
22:49.3,65375
22:49.3,65371
22:49.3,65363
22:49.3,65357
22:49.3,65353
22:49.3,65353
22:49.3,65352
22:49.3,65334
22:49.3,65341
22:49.3,65322
22:49.3,65322
22:49.3,65325
22:49.3,65316
22:49.3,65326
22:49.3,65317
22:49.3,65317
22:49.3,65307
22:49.3,65305
22:49.3,65306
22:49.3,65280
22:49.3,65280
22:49.3,65299
22:49.3,65311
22:49.3,65306
22:49.3,65298
22:49.3,65298
22:49.3,65300
22:49.3,65298
22:49.3,65302
22:49.3,65287
22:49.3,65287
22:49.3,65299
22:49.3,65299
22:49.3,65294
22:49.3,65295
22:49.3,65295
22:49.3,65298
22:49.3,65293
22:49.3,65300
22:49.3,65307
22:49.3,65307
22:49.3,65300
22:49.3,65288
22:49.3,65298
22:49.3,65298
22:49.3,65297
22:49.3,65296
22:49.4,65296
22:49.4,65295
22:49.4,65295
22:49.4,65291
22:49.4,65293
22:49.4,65294
22:49.4,65284
22:49.4,65284
22:49.4,65294
22:49.4,65274
22:49.4,65287
22:49.4,65276
22:49.4,65276
22:49.4,65292
22:49.4,65290
22:49.4,65281
22:49.4,65284
22:49.4,65284
22:49.4,65275
22:49.4,65281
22:49.4,65279
22:49.4,65265
22:49.4,65265
22:49.4,65277
22:49.4,65273
22:49.4,65280
22:49.4,65279
22:49.4,65279
22:49.4,65280
22:49.4,65276
22:49.4,65271
22:49.4,65281
22:49.4,65281
22:49.4,65280
22:49.4,65286
22:49.4,65284
22:49.4,65282
22:49.4,65282
22:49.4,65283
22:49.4,65285
22:49.4,65282
22:49.4,65300
22:49.4,65300
22:49.4,65292
22:49.4,65293
22:49.4,65288
22:49.4,65288
22:49.4,65308
22:49.4,65294
22:49.4,65305
22:49.5,65304
22:49.5,65304
22:49.5,65303
22:49.5,65308
22:49.5,65319
22:49.5,65303
22:49.5,65303
22:49.5,65317
22:49.5,65307
22:49.5,65313
22:49.5,65317
22:49.5,65317
22:49.5,65308
22:49.5,65314
22:49.5,65320
22:49.5,65320
22:49.5,65320
22:49.5,65323
22:49.5,65327
22:49.5,65327
22:49.5,65309
22:49.5,65309
